"","Name","Vorname","Nachname","Geschlecht","Nationalität","Birthday","Seasons","URL","Season.x","Season.y","Season.x.x","Season.y.y","Season"
"285"," Lars Carius","Lars","Carius","m"," Deutschland"," 20.02.1997"," 2   ","https://www.sport.de/ninja-warrior/pe686380/lars-carius/","","2","","",""
"286"," René Casselly","René","Casselly","m"," Deutschland"," 06.09.1996"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686559/rene-casselly/","","2","3","4","5"
"287"," Saikou Ceesay","Saikou","Ceesay","m"," Deutschland"," 03.03.1979"," 2   ","https://www.sport.de/ninja-warrior/pe686363/saikou-ceesay/","","2","","",""
"288"," Matthias Clementi","Matthias","Clementi","m"," Deutschland"," 30.09.1996"," 2   ","https://www.sport.de/ninja-warrior/pe686355/matthias-clementi/","","2","","",""
"289"," Mandy Czieschowitz","Mandy","Czieschowitz","w"," Deutschland"," 20.04.1989"," 2   ","https://www.sport.de/ninja-warrior/pe686573/mandy-czieschowitz/","","2","","",""
"290"," Can Dar","Can","Dar","m"," Deutschland"," 13.03.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686342/can-dar/","","2","","",""
"291"," Ryan De Guzman","Ryan","De Guzman","m"," Deutschland"," 11.10.1981"," 2   ","https://www.sport.de/ninja-warrior/pe686430/ryan-de-guzman/","","2","","",""
"292"," Matheus Gomes De Sousa","Matheus","Gomes De Sousa","m"," Deutschland"," 11.12.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686401/matheus-gomes-de-sousa/","","2","","",""
"293"," Daniel Decker","Daniel","Decker","m"," Deutschland"," 28.07.1997"," 2 3 4 ","https://www.sport.de/ninja-warrior/pe686420/daniel-decker/","","2","3","4",""
"294"," Jan Decker","Jan","Decker","m"," Deutschland"," 25.09.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686522/jan-decker/","","2","","",""
"295"," Katharina Deltow","Katharina","Deltow","w"," Deutschland"," 06.12.1984"," 2   ","https://www.sport.de/ninja-warrior/pe686536/katharina-deltow/","","2","","",""
"296"," Crocifisso Di Liberto","Crocifisso","Di Liberto","m"," Deutschland"," 09.05.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686368/crocifisso-di-liberto/","","2","","",""
"297"," Frank Diemert","Frank","Diemert","m"," Deutschland"," 11.04.1974"," 2   ","https://www.sport.de/ninja-warrior/pe686477/frank-diemert/","","2","","",""
"298"," Hannah Dollinger","Hannah","Dollinger","w"," Deutschland"," 04.10.1997"," 2   ","https://www.sport.de/ninja-warrior/pe686562/hannah-dollinger/","","2","","",""
"299"," Ronald Drummond","Ronald","Drummond","m"," Deutschland"," 27.10.1961"," 2 3  ","https://www.sport.de/ninja-warrior/pe686494/ronald-drummond/","","2","3","",""
"300"," Beatrice Egli","Beatrice","Egli","w"," Schweiz"," 21.06.1988"," 2   ","https://www.sport.de/ninja-warrior/pe705746/beatrice-egli/","","2","","",""
"301"," Roland Eickhoff","Roland","Eickhoff","m"," Deutschland"," 12.01.1989"," 2   ","https://www.sport.de/ninja-warrior/pe686554/roland-eickhoff/","","2","","",""
"302"," David Eilenstein","David","Eilenstein","m"," Deutschland"," 07.05.1992"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686177/david-eilenstein/","","2","3","4","5"
"303"," Felix Eiler","Felix","Eiler","m"," Deutschland"," 27.10.1996"," 2   ","https://www.sport.de/ninja-warrior/pe686535/felix-eiler/","","2","","",""
"304"," Yasin El Azzazy","Yasin","El Azzazy","m"," Deutschland"," 20.03.1990"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686233/yasin-el-azzazy/","","2","3","4","5"
"305"," Kenan Engerini","Kenan","Engerini","m"," Deutschland"," 29.11.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686461/kenan-engerini/","","2","","",""
"306"," Julia Ernhofer","Julia","Ernhofer","w"," Österreich"," 18.03.1995"," 2   5","https://www.sport.de/ninja-warrior/pe686347/julia-ernhofer/","","2","","","5"
"307"," Ranim Fallaha","Ranim","Fallaha","m"," Deutschland"," 24.06.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686515/ranim-fallaha/","","2","","",""
"308"," Noah Faulstich","Noah","Faulstich","m"," Deutschland"," 16.08.1997"," 2   ","https://www.sport.de/ninja-warrior/pe686448/noah-faulstich/","","2","","",""
"309"," Maik Faupel","Maik","Faupel","m"," Deutschland"," 29.04.1979"," 2   ","https://www.sport.de/ninja-warrior/pe686418/maik-faupel/","","2","","",""
"310"," Samuel Faustich","Samuel","Faustich","m"," Deutschland"," 25.06.1995"," 2 3  ","https://www.sport.de/ninja-warrior/pe686449/samuel-faustich/","","2","3","",""
"311"," Moritz Feuchtmeir","Moritz","Feuchtmeir","m"," Deutschland"," 08.11.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686540/moritz-feuchtmeir/","","2","","",""
"312"," Andreas Flögel","Andreas","Flögel","m"," Deutschland"," 26.10.1967"," 2   ","https://www.sport.de/ninja-warrior/pe686459/andreas-floegel/","","2","","",""
"313"," Luca Flögel","Luca","Flögel","m"," Deutschland"," 01.12.1998"," 2   ","https://www.sport.de/ninja-warrior/pe686460/luca-floegel/","","2","","",""
"314"," Christian Formella","Christian","Formella","m"," Deutschland"," 30.01.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686507/christian-formella/","","2","","",""
"315"," Santiago Franco-Castillo","Santiago","Franco-Castillo","m"," Deutschland"," 22.04.1976"," 2   ","https://www.sport.de/ninja-warrior/pe686441/santiago-franco-castillo/","","2","","",""
"316"," Nico Freiherr von Lerchenfeld","Nico","Freiherr von Lerchenfeld","m"," Deutschland"," 28.12.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686518/nico-freiherr-von-lerchenfeld/","","2","","",""
"317"," Dominik Friedl","Dominik","Friedl","m"," Deutschland"," 19.09.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686378/dominik-friedl/","","2","","",""
"318"," Yasmin Galati","Yasmin","Galati","w"," Deutschland"," 28.05.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686524/yasmin-galati/","","2","","",""
"319"," Edem Galley","Edem","Galley","m"," Deutschland"," 30.08.1986"," 2   ","https://www.sport.de/ninja-warrior/pe686394/edem-galley/","","2","","",""
"320"," Klaus Gärtner","Klaus","Gärtner","m"," Deutschland"," 12.10.1957"," 2 3  ","https://www.sport.de/ninja-warrior/pe686151/klaus-gaertner/","","2","3","",""
"321"," Lukas Gastl","Lukas","Gastl","m"," Österreich"," 02.11.1996"," 2   ","https://www.sport.de/ninja-warrior/pe686517/lukas-gastl/","","2","","",""
"322"," John-Paul Gawallek","John-Paul","Gawallek","m"," Deutschland"," 06.07.1996"," 2   ","https://www.sport.de/ninja-warrior/pe686564/john-paul-gawallek/","","2","","",""
"323"," Sven Gedike","Sven","Gedike","m"," Deutschland"," 07.01.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686387/sven-gedike/","","2","","",""
"324"," Fedja Gerke","Fedja","Gerke","w"," Deutschland"," 25.07.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686322/fedja-gerke/","","2","","",""
"325"," Kassandra Geyer","Kassandra","Geyer","w"," Deutschland"," 27.09.1997"," 2   ","https://www.sport.de/ninja-warrior/pe686425/kassandra-geyer/","","2","","",""
"326"," Florian Ghanizada","Florian","Ghanizada","m"," Deutschland"," 17.03.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686533/florian-ghanizada/","","2","","",""
"327"," David Goldberg","David","Goldberg","m"," Deutschland"," 29.12.1983"," 2   ","https://www.sport.de/ninja-warrior/pe686544/david-goldberg/","","2","","",""
"328"," Noah Gräf","Noah","Gräf","m"," Deutschland"," 30.07.1996"," 2   ","https://www.sport.de/ninja-warrior/pe686521/noah-graef/","","2","","",""
"329"," Licinia Greber","Licinia","Greber","w"," Deutschland"," 28.05.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686502/licinia-greber/","","2","","",""
"330"," Marcel Groß","Marcel","Groß","m"," Deutschland"," 18.08.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686581/marcel-gross/","","2","","",""
"331"," Sophia Große","Sophia","Große","w"," Deutschland"," 08.03.1998"," 2   ","https://www.sport.de/ninja-warrior/pe686501/sophia-grosse/","","2","","",""
"332"," Alex Grunwald","Alex","Grunwald","m"," Deutschland"," 24.05.1989"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686457/alex-grunwald/","","2","3","4","5"
"333"," Kayhan Gülmez","Kayhan","Gülmez","m"," Deutschland"," 02.01.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686324/kayhan-guelmez/","","2","","",""
"334"," Eva Habermann","Eva","Habermann","w"," Deutschland"," 16.01.1976"," 2   ","https://www.sport.de/ninja-warrior/pe705748/eva-habermann/","","2","","",""
"335"," Jürgen Hackl","Jürgen","Hackl","m"," Deutschland"," 28.02.1968"," 2 3  ","https://www.sport.de/ninja-warrior/pe686565/juergen-hackl/","","2","3","",""
"336"," Manuel Halbisch","Manuel","Halbisch","m"," Deutschland"," 09.01.1998"," 2   ","https://www.sport.de/ninja-warrior/pe686419/manuel-halbisch/","","2","","",""
"337"," Björn Hallbauer","Björn","Hallbauer","m"," Deutschland"," 29.12.1978"," 2   ","https://www.sport.de/ninja-warrior/pe686496/bjoern-hallbauer/","","2","","",""
"338"," Sven Hallbauer","Sven","Hallbauer","m"," Deutschland"," 29.12.1978"," 2   ","https://www.sport.de/ninja-warrior/pe686495/sven-hallbauer/","","2","","",""
"339"," Sven Hannawald","Sven","Hannawald","m"," Deutschland"," 09.11.1974"," 2 3  ","https://www.sport.de/wintersport/pe586969/sven-hannawald/","","2","3","",""
"340"," Christian Harmat","Christian","Harmat","m"," Schweiz"," 25.12.1991"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686399/christian-harmat/","","2","3","4","5"
"341"," Dominic Harrison","Dominic","Harrison","m"," Deutschland"," 01.07.1991"," 2   ","https://www.sport.de/ninja-warrior/pe686421/dominic-harrison/","","2","","",""
"342"," Alessandro Hasler","Alessandro","Hasler","m"," Deutschland"," 04.04.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686579/alessandro-hasler/","","2","","",""
"343"," Thomas Häßler","Thomas","Häßler","m"," Deutschland"," 30.05.1966"," 2   ","https://www.sport.de/fussball/pe40777/thomas-haessler/","","2","","",""
"344"," Michael Haußmann","Michael","Haußmann","m"," Deutschland"," 26.05.1970"," 2   ","https://www.sport.de/ninja-warrior/pe686532/michael-haussmann/","","2","","",""
"345"," Jescher Heidl","Jescher","Heidl","m"," Deutschland"," 17.02.1993"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686271/jescher-heidl/","","2","3","4","5"
"346"," Manasse Heidl","Manasse","Heidl","m"," Deutschland"," 17.02.1994"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686272/manasse-heidl/","","2","3","4","5"
"347"," Christian Heimerdinger","Christian","Heimerdinger","m"," Deutschland"," 22.01.1981"," 2   ","https://www.sport.de/ninja-warrior/pe686374/christian-heimerdinger/","","2","","",""
"348"," Alexej Hein","Alexej","Hein","m"," Deutschland"," 11.04.1978"," 2   ","https://www.sport.de/ninja-warrior/pe686546/alexej-hein/","","2","","",""
"349"," Denny Henkel","Denny","Henkel","m"," Deutschland"," 26.02.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686503/denny-henkel/","","2","","",""
"350"," Teresa Henn","Teresa","Henn","w"," Deutschland"," 25.10.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686572/teresa-henn/","","2","","",""
"351"," Manuel Hennchen","Manuel","Hennchen","m"," Deutschland"," 23.11.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686333/manuel-hennchen/","","2","","",""
"352"," Maria Henneken","Maria","Henneken","w"," Deutschland"," 24.09.1985"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686413/maria-henneken/","","2","3","4","5"
"353"," Boris Hesselmann","Boris","Hesselmann","m"," Deutschland"," 08.09.1984"," 2   ","https://www.sport.de/ninja-warrior/pe686442/boris-hesselmann/","","2","","",""
"354"," Benjamin Hiemenz","Benjamin","Hiemenz","m"," Deutschland"," 22.07.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686444/benjamin-hiemenz/","","2","","",""
"355"," Tobias Hofmann","Tobias","Hofmann","m"," Deutschland"," 15.08.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686530/tobias-hofmann/","","2","","",""
"356"," Afra Hönig","Afra","Hönig","w"," Deutschland"," 02.12.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686466/afra-hoenig/","","2","","",""
"357"," Rainer Höpfler","Rainer","Höpfler","m"," Deutschland"," 22.01.1976"," 2   ","https://www.sport.de/ninja-warrior/pe686529/rainer-hoepfler/","","2","","",""
"358"," Marcel Hormes","Marcel","Hormes","m"," Deutschland"," 14.04.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686417/marcel-hormes/","","2","","",""
"359"," Selina Huber","Selina","Huber","w"," Deutschland"," 14.01.1998"," 2 3  5","https://www.sport.de/ninja-warrior/pe686153/selina-huber/","","2","3","","5"
"360"," Lukas Hunecker","Lukas","Hunecker","m"," Deutschland"," 12.03.1997"," 2   ","https://www.sport.de/ninja-warrior/pe686571/lukas-hunecker/","","2","","",""
"361"," Florian Huter","Florian","Huter","m"," Österreich"," 20.09.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686393/florian-huter/","","2","","",""
"362"," Jens Impelmann","Jens","Impelmann","m"," Deutschland"," 15.05.1993"," 2   ","https://www.sport.de/ninja-warrior/pe686485/jens-impelmann/","","2","","",""
"363"," Paul Janke","Paul","Janke","m"," Deutschland"," 16.09.1981"," 2 3 4 ","https://www.sport.de/fussball/pe137131/paul-janke/","","2","3","4",""
"364"," Rafael Joschwiak","Rafael","Joschwiak","m"," Deutschland"," 28.07.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686365/rafael-joschwiak/","","2","","",""
"365"," Mickael Jou","Mickael","Jou","m"," Deutschland"," 29.01.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686379/mickael-jou/","","2","","",""
"366"," Anna Juchem","Anna","Juchem","w"," Deutschland"," 26.10.1978"," 2 3  ","https://www.sport.de/ninja-warrior/pe686412/anna-juchem/","","2","3","",""
"367"," Steffen Jürgens","Steffen","Jürgens","m"," Deutschland"," 14.02.1968"," 2   ","https://www.sport.de/ninja-warrior/pe686373/steffen-juergens/","","2","","",""
"368"," Sabri Kabdani","Sabri","Kabdani","m"," Deutschland"," 08.07.1983"," 2   ","https://www.sport.de/ninja-warrior/pe686317/sabri-kabdani/","","2","","",""
"369"," Soubhi Kabdani","Soubhi","Kabdani","m"," Deutschland"," 08.07.1983"," 2   ","https://www.sport.de/ninja-warrior/pe686316/soubhi-kabdani/","","2","","",""
"370"," Olivia Kaluza","Olivia","Kaluza","w"," Deutschland"," 02.05.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686561/olivia-kaluza/","","2","","",""
"371"," Maximilian Käser","Maximilian","Käser","m"," Deutschland",""," 2   5","https://www.sport.de/ninja-warrior/pe707969/maximilian-kaeser/","","2","","","5"
"372"," Maresa Kassel","Maresa","Kassel","w"," Deutschland"," 28.10.1969"," 2   ","https://www.sport.de/ninja-warrior/pe686537/maresa-kassel/","","2","","",""
"373"," Rustem Kasso","Rustem","Kasso","m"," Deutschland"," 01.10.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686422/rustem-kasso/","","2","","",""
"374"," Florian Kaufmann","Florian","Kaufmann","m"," Schweiz"," 10.07.1981"," 2   ","https://www.sport.de/ninja-warrior/pe686428/florian-kaufmann/","","2","","",""
"375"," Alexander Keen","Alexander","Keen","m"," Deutschland"," 19.11.1982"," 2   ","https://www.sport.de/ninja-warrior/pe705715/alexander-keen/","","2","","",""
"376"," Lilli Kiesgen","Lilli","Kiesgen","w"," Deutschland"," 02.07.1996"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686185/lilli-kiesgen/","","2","3","4","5"
"377"," Dominik Kieslich","Dominik","Kieslich","m"," Deutschland"," 10.11.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686569/dominik-kieslich/","","2","","",""
"378"," Chris Kiliano","Chris","Kiliano","m"," Deutschland"," 30.04.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686337/chris-kiliano/","","2","","",""
"379"," Jun Kim","Jun","Kim","m"," Deutschland"," 03.05.1988"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686255/jun-kim/","","2","3","4","5"
"380"," Sascha Kleeberger","Sascha","Kleeberger","m"," Österreich"," 30.12.1972"," 2   ","https://www.sport.de/ninja-warrior/pe686550/sascha-kleeberger/","","2","","",""
"381"," Tobias Klein","Tobias","Klein","m"," Deutschland"," 26.02.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686335/tobias-klein/","","2","","",""
"382"," Leander Kleinschmitz","Leander","Kleinschmitz","m"," Deutschland"," 07.04.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686548/leander-kleinschmitz/","","2","","",""
"383"," Natalia Kley-Wisniewska","Natalia","Kley-Wisniewska","w"," Deutschland"," 12.09.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686574/natalia-kley-wisniewska/","","2","","",""
"384"," Björn Kloster","Björn","Kloster","m"," Deutschland"," 24.03.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686476/bjoern-kloster/","","2","","",""
"385"," Heiko Köhler","Heiko","Köhler","m"," Deutschland"," 11.08.1958"," 2   ","https://www.sport.de/ninja-warrior/pe686458/heiko-koehler/","","2","","",""
"386"," Ralf Köhn","Ralf","Köhn","m"," Deutschland"," 07.07.1965"," 2   ","https://www.sport.de/ninja-warrior/pe686527/ralf-koehn/","","2","","",""
"387"," Sarah Kopp","Sarah","Kopp","w"," Deutschland"," 11.02.1981"," 2 3 4 ","https://www.sport.de/ninja-warrior/pe686216/sarah-kopp/","","2","3","4",""
"388"," Anne-Marie Kot","Anne-Marie","Kot","w"," Deutschland"," 03.07.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686345/anne-marie-kot/","","2","","",""
"389"," Mario Kotaska","Mario","Kotaska","m"," Deutschland"," 28.11.1973"," 2   ","https://www.sport.de/ninja-warrior/pe705712/mario-kotaska/","","2","","",""
"390"," Joh-A Kpalete","Joh-A","Kpalete","m"," Deutschland"," 18.12.1970"," 2 3  ","https://www.sport.de/ninja-warrior/pe686321/joh-a-kpalete/","","2","3","",""
"391"," Nadine Krämer","Nadine","Krämer","w"," Deutschland"," 22.04.1991"," 2   ","https://www.sport.de/ninja-warrior/pe686329/nadine-kraemer/","","2","","",""
"392"," Marina Krause","Marina","Krause","w"," Deutschland"," 24.08.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686525/marina-krause/","","2","","",""
"393"," Christopher Krauß","Christopher","Krauß","m"," Deutschland"," 27.12.1991"," 2   ","https://www.sport.de/ninja-warrior/pe686323/christopher-krauss/","","2","","",""
"394"," Manuel Krauthausen","Manuel","Krauthausen","m"," Deutschland"," 12.05.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686512/manuel-krauthausen/","","2","","",""
"395"," Volkan Kücük","Volkan","Kücük","m"," Deutschland"," 18.03.1982"," 2   ","https://www.sport.de/ninja-warrior/pe686395/volkan-kuecuek/","","2","","",""
"396"," Alicia Kummer","Alicia","Kummer","w"," Deutschland"," 24.06.1988"," 2   5","https://www.sport.de/ninja-warrior/pe686371/alicia-kummer/","","2","","","5"
"397"," Jens Kunze","Jens","Kunze","m"," Deutschland"," 18.08.1965"," 2   ","https://www.sport.de/ninja-warrior/pe686437/jens-kunze/","","2","","",""
"398"," Felix Küpper","Felix","Küpper","m"," Deutschland"," 29.03.1999"," 2   ","https://www.sport.de/ninja-warrior/pe686343/felix-kuepper/","","2","","",""
"399"," Kevin Kürbisch","Kevin","Kürbisch","m"," Deutschland"," 24.07.1993"," 2   ","https://www.sport.de/ninja-warrior/pe686487/kevin-kuerbisch/","","2","","",""
"400"," Nico Laschkowski","Nico","Laschkowski","m"," Deutschland"," 20.06.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686318/nico-laschkowski/","","2","","",""
"401"," Hakob Latschinjan","Hakob","Latschinjan","m"," Deutschland"," 25.07.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686392/hakob-latschinjan/","","2","","",""
"402"," Colin Leathers","Colin","Leathers","m"," Deutschland"," 23.07.1994"," 2 3 4 ","https://www.sport.de/ninja-warrior/pe686265/colin-leathers/","","2","3","4",""
"403"," Patrick Legenstein","Patrick","Legenstein","m"," Österreich"," 06.11.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686381/patrick-legenstein/","","2","","",""
"404"," Dennis Leiber","Dennis","Leiber","m"," Deutschland"," 19.12.1998"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686359/dennis-leiber/","","2","3","4","5"
"405"," Rainer Leiber","Rainer","Leiber","m"," Deutschland"," 13.10.1970"," 2 3 4 5","https://www.sport.de/ninja-warrior/pe686358/rainer-leiber/","","2","3","4","5"
"406"," Kenny Lewis","Kenny","Lewis","m"," Deutschland"," 25.08.1965"," 2   ","https://www.sport.de/ninja-warrior/pe686549/kenny-lewis/","","2","","",""
"407"," Sebastian Lierenfeld","Sebastian","Lierenfeld","m"," Deutschland"," 26.07.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686445/sebastian-lierenfeld/","","2","","",""
"408"," Tobias Löffler","Tobias","Löffler","m"," Deutschland"," 29.12.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686534/tobias-loeffler/","","2","","",""
"409"," Marian Lösch","Marian","Lösch","m"," Deutschland"," 01.01.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686471/marian-loesch/","","2","","",""
"410"," Nicki Lubowski","Nicki","Lubowski","m"," Deutschland"," 07.09.1976"," 2   ","https://www.sport.de/ninja-warrior/pe686481/nicki-lubowski/","","2","","",""
"411"," Thomas Ludwig","Thomas","Ludwig","m"," Deutschland"," 18.07.1987"," 2   ","https://www.sport.de/ninja-warrior/pe686350/thomas-ludwig/","","2","","",""
"412"," Mike Lux-Feldmann","Mike","Lux-Feldmann","m"," Deutschland"," 25.11.1969"," 2   ","https://www.sport.de/ninja-warrior/pe686338/mike-lux-feldmann/","","2","","",""
"413"," Eric Magut","Eric","Magut","m"," Deutschland"," 26.07.1988"," 2   ","https://www.sport.de/ninja-warrior/pe686541/eric-magut/","","2","","",""
"414"," Julius Malassa","Julius","Malassa","m"," Deutschland"," 28.12.1993"," 2 3  ","https://www.sport.de/ninja-warrior/pe686439/julius-malassa/","","2","3","",""
"415"," Andrej Mangold","Andrej","Mangold","m"," Deutschland"," 14.01.1987"," 2  4 ","https://www.sport.de/basketball/pe264688/andrej-mangold/","","2","","4",""
"416"," Johannes Mann","Johannes","Mann","m"," Deutschland"," 06.09.1990"," 2  4 ","https://www.sport.de/ninja-warrior/pe686552/johannes-mann/","","2","","4",""
"417"," Samira Mark","Samira","Mark","w"," Deutschland"," 11.04.1979"," 2   ","https://www.sport.de/ninja-warrior/pe686450/samira-mark/","","2","","",""
"418"," Bianca Marten","Bianca","Marten","w"," Deutschland"," 10.11.1989"," 2   ","https://www.sport.de/ninja-warrior/pe686465/bianca-marten/","","2","","",""
"419"," Frederik Miebach","Frederik","Miebach","m"," Deutschland"," 26.10.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686499/frederik-miebach/","","2","","",""
"420"," Angelo Mihaltan","Angelo","Mihaltan","m"," Deutschland"," 04.07.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686397/angelo-mihaltan/","","2","","",""
"421"," Jürgen Milski","Jürgen","Milski","m"," Deutschland"," 24.11.1963"," 2   ","https://www.sport.de/ninja-warrior/pe686566/juergen-milski/","","2","","",""
"422"," Tobias Mineiro","Tobias","Mineiro","m"," Deutschland"," 07.04.1984"," 2   ","https://www.sport.de/ninja-warrior/pe686498/tobias-mineiro/","","2","","",""
"423"," Roemellow Moore","Roemellow","Moore","m"," Deutschland"," 06.09.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686469/roemellow-moore/","","2","","",""
"424"," Daniel Mores","Daniel","Mores","m"," Deutschland"," 15.01.1996"," 2   ","https://www.sport.de/ninja-warrior/pe686443/daniel-mores/","","2","","",""
"425"," Al-Sagad Moula","Al-Sagad","Moula","m"," Deutschland"," 28.08.1989"," 2   ","https://www.sport.de/ninja-warrior/pe686434/al-sagad-moula/","","2","","",""
"426"," Marcus Müller","Marcus","Müller","m"," Deutschland"," 23.04.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686555/marcus-mueller/","","2","","",""
"427"," Robby Nachtigall","Robby","Nachtigall","m"," Deutschland"," 17.05.1985"," 2   ","https://www.sport.de/ninja-warrior/pe686341/robby-nachtigall/","","2","","",""
"428"," David Nash","David","Nash","m"," Deutschland"," 16.01.1986"," 2   ","https://www.sport.de/ninja-warrior/pe686431/david-nash/","","2","","",""
"429"," Florian Nestmann","Florian","Nestmann","m"," Deutschland"," 04.12.1977"," 2   ","https://www.sport.de/ninja-warrior/pe686531/florian-nestmann/","","2","","",""
"430"," Björn Neumann","Björn","Neumann","m"," Deutschland"," 23.06.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686470/bjoern-neumann/","","2","","",""
"431"," Thanh Nguyen","Thanh","Nguyen","m"," Deutschland"," 29.04.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686538/thanh-nguyen/","","2","","",""
"432"," Fatai Odusola","Fatai","Odusola","m"," Deutschland"," 22.09.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686454/fatai-odusola/","","2","","",""
"433"," Gil Ofarim","Gil","Ofarim","m"," Deutschland"," 13.08.1982"," 2   ","https://www.sport.de/ninja-warrior/pe705717/gil-ofarim/","","2","","",""
"434"," Yvonne Olgemann","Yvonne","Olgemann","w"," Deutschland"," 19.10.1976"," 2   ","https://www.sport.de/ninja-warrior/pe686330/yvonne-olgemann/","","2","","",""
"435"," Dennis Ottenbacher","Dennis","Ottenbacher","m"," Deutschland"," 29.12.1986"," 2   ","https://www.sport.de/ninja-warrior/pe686403/dennis-ottenbacher/","","2","","",""
"436"," Björn Otto","Björn","Otto","m"," Deutschland"," 16.10.1977"," 2 3  ","https://www.sport.de/ninja-warrior/pe281591/bjoern-otto/","","2","3","",""
"437"," Ismail Öztürk","Ismail","Öztürk","m"," Österreich"," 01.09.1992"," 2   ","https://www.sport.de/ninja-warrior/pe686406/ismail-oeztuerk/","","2","","",""
"438"," Rainer Pacholek","Rainer","Pacholek","m"," Deutschland"," 14.02.1956"," 2   ","https://www.sport.de/ninja-warrior/pe686456/rainer-pacholek/","","2","","",""
"439"," Till Pape","Till","Pape","m"," Deutschland"," 25.04.1990"," 2   ","https://www.sport.de/ninja-warrior/pe686504/till-pape/","","2","","",""
"440"," Max Petrat","Max","Petrat","m"," Deutschland"," 10.02.1995"," 2   ","https://www.sport.de/ninja-warrior/pe686493/max-petrat/","","2","","",""
"441"," Panagiota Petridou","Panagiota","Petridou","w"," Deutschland"," 13.07.1979"," 2   ","https://www.sport.de/ninja-warrior/pe705749/panagiota-petridou/","","2","","",""
"442"," Pirmin Planer","Pirmin","Planer","m"," Deutschland"," 13.06.1994"," 2   ","https://www.sport.de/ninja-warrior/pe686557/pirmin-planer/","","2","","",""
"443"," Oliver Pocher","Oliver","Pocher","m"," Deutschland"," 18.02.1978"," 2   ","https://www.sport.de/ninja-warrior/pe705714/oliver-pocher/","","2","","",""
"444"," Florian Polsterer","Florian","Polsterer","m"," Österreich"," 10.02.1989"," 2   ","https://www.sport.de/ninja-warrior/pe686472/florian-polsterer/","","2","","",""
